Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2015-01-05,000635,10.91,10.95,11.12,10.76,71040,89352362.0,3.3,0.46,0.05,4.01
2015-01-06,000635,10.98,11.22,11.53,10.84,74636,96053866.0,6.3,2.47,0.27,4.22
2015-01-07,000635,11.12,10.93,11.27,10.78,61474,77747144.0,4.37,-2.58,-0.29,3.47
2015-01-08,000635,10.94,10.65,10.96,10.57,44686,55101992.0,3.57,-2.56,-0.28,2.52
2015-01-09,000635,10.64,10.64,10.89,10.6,33439,41326211.0,2.72,-0.09,-0.01,1.89
2015-01-12,000635,10.57,10.25,10.57,10.14,42227,50455559.0,4.04,-3.67,-0.39,2.38
2015-01-13,000635,10.18,10.43,10.45,10.14,23902,28473885.0,3.02,1.76,0.18,1.35
2015-01-14,000635,10.44,10.22,10.45,10.18,25083,29825679.0,2.59,-2.01,-0.21,1.42
2015-01-15,000635,10.23,10.36,10.36,10.18,19433,23133014.0,1.76,1.37,0.14,1.1
2015-01-16,000635,10.36,10.77,10.82,10.31,41759,51138463.0,4.92,3.96,0.41,2.36
2015-01-19,000635,10.57,10.0,10.66,9.81,57684,68898772.0,7.89,-7.15,-0.77,3.26
2015-01-20,000635,10.03,10.33,10.33,10.03,31904,37835559.0,3.0,3.3,0.33,1.8
2015-01-21,000635,10.33,10.73,10.77,10.33,43720,53480216.0,4.26,3.87,0.4,2.47
2015-01-22,000635,10.78,10.82,10.91,10.68,45572,56619187.0,2.14,0.84,0.09,2.57
2015-01-23,000635,10.85,10.68,10.89,10.62,30552,37775530.0,2.5,-1.29,-0.14,1.73
2015-01-26,000635,10.34,10.58,10.58,10.1,73165,87399313.0,4.49,-0.94,-0.1,4.13
2015-01-27,000635,10.58,10.68,10.7,10.4,56819,69222348.0,2.84,0.95,0.1,3.21
2015-01-28,000635,10.64,10.63,10.81,10.54,38977,48032276.0,2.53,-0.47,-0.05,2.2
2015-01-29,000635,10.58,10.28,10.63,10.26,45562,54552522.0,3.48,-3.29,-0.35,2.57
2015-01-30,000635,10.3,10.27,10.37,10.17,25108,29811646.0,1.95,-0.1,-0.01,1.42
2015-02-02,000635,10.15,10.27,10.33,10.14,17335,20600640.0,1.85,0.0,0.0,0.98
2015-02-03,000635,10.36,10.4,10.41,10.23,23203,27746784.0,1.75,1.27,0.13,1.31
2015-02-04,000635,10.47,10.27,10.47,10.23,20907,25019622.0,2.31,-1.25,-0.13,1.18
