Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2021-09-14,301062,17.65,22.65,23.03,15.63,298499,514067952.0,234.18,616.77,19.49,72.76
2021-09-15,301062,18.95,18.4,20.51,18.08,222334,433136080.0,10.73,-18.76,-4.25,54.19
2021-09-16,301062,17.33,16.91,19.03,16.66,193164,346757728.0,12.88,-8.1,-1.49,47.08
2021-09-17,301062,16.85,17.55,19.08,16.23,211630,371886288.0,16.85,3.78,0.64,51.58
2021-09-22,301062,16.86,18.09,19.37,16.86,158228,291053600.0,14.3,3.08,0.54,38.57
2021-09-23,301062,18.15,19.18,20.35,17.66,158493,304861856.0,14.87,6.03,1.09,38.63
2021-09-24,301062,17.84,16.52,18.15,16.5,134969,233333057.0,8.6,-13.87,-2.66,32.9
2021-09-27,301062,16.27,14.98,16.33,14.81,97878,151322369.0,9.2,-9.32,-1.54,23.86
2021-09-28,301062,14.95,15.21,15.33,14.33,59461,89210955.0,6.68,1.54,0.23,14.49
2021-09-29,301062,14.83,14.35,15.24,14.03,67073,98939159.0,7.96,-5.65,-0.86,16.35
2021-09-30,301062,14.49,14.8,14.98,14.16,43311,63935957.0,5.71,3.14,0.45,10.56
2021-10-08,301062,15.16,15.52,17.14,15.16,58491,93501271.0,13.38,4.86,0.72,14.26
2021-10-11,301062,14.99,15.58,15.99,14.99,42274,66106769.0,6.44,0.39,0.06,10.3
2021-10-12,301062,15.58,14.87,15.58,14.5,47130,70819410.0,6.93,-4.56,-0.71,11.49
2021-10-13,301062,14.83,15.91,15.93,14.67,72959,113820969.0,8.47,6.99,1.04,17.78
2021-10-14,301062,15.56,15.61,15.79,15.32,43680,68442369.0,2.95,-1.89,-0.3,10.65
2021-10-15,301062,15.62,15.94,16.12,15.15,56445,88981989.0,6.21,2.11,0.33,13.76
2021-10-18,301062,15.75,16.2,16.29,15.55,59110,95196840.0,4.64,1.63,0.26,14.41
2021-10-19,301062,16.21,15.63,16.35,15.55,59434,94649334.0,4.94,-3.52,-0.57,14.49
2021-10-20,301062,15.3,14.92,15.41,14.74,50838,76886895.0,4.29,-4.54,-0.71,12.39
