Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2015-01-05,600067,7.52,7.58,7.89,7.47,685606,573586480.0,5.67,2.29,0.17,5.75
2015-01-06,600067,7.51,7.24,7.51,7.12,363326,289693088.0,5.15,-4.49,-0.34,3.04
2015-01-07,600067,7.15,7.18,7.27,7.02,231301,181766327.0,3.45,-0.83,-0.06,1.94
2015-01-08,600067,7.18,6.76,7.2,6.72,386338,291824880.0,6.69,-5.85,-0.42,3.24
2015-01-09,600067,6.74,6.76,6.94,6.71,278629,209471090.0,3.4,0.0,0.0,2.33
2015-01-12,600067,6.71,6.5,6.73,6.4,269266,194424526.0,4.88,-3.85,-0.26,2.26
2015-01-13,600067,6.52,6.56,6.69,6.46,175861,127715851.0,3.54,0.92,0.06,1.47
2015-01-14,600067,6.58,6.68,6.75,6.52,143469,105539541.0,3.51,1.83,0.12,1.2
2015-01-15,600067,6.68,6.89,6.96,6.59,328729,246634163.0,5.54,3.14,0.21,2.75
2015-01-16,600067,6.93,7.18,7.24,6.91,452840,354579952.0,4.79,4.21,0.29,3.79
2015-01-19,600067,6.91,6.5,7.14,6.47,361047,270577632.0,9.33,-9.47,-0.68,3.03
2015-01-20,600067,6.57,6.78,6.79,6.55,204437,150684505.0,3.69,4.31,0.28,1.71
2015-01-21,600067,6.78,7.09,7.18,6.72,320355,245836809.0,6.78,4.57,0.31,2.68
2015-01-22,600067,7.02,7.23,7.29,7.02,355867,279546176.0,3.81,1.97,0.14,2.98
2015-01-23,600067,7.21,7.06,7.24,7.02,200501,156343755.0,3.04,-2.35,-0.17,1.68
2015-01-26,600067,7.07,7.23,7.25,6.99,225072,175782938.0,3.68,2.41,0.17,1.89
2015-01-27,600067,7.26,6.99,7.26,6.83,310133,238999627.0,5.95,-3.32,-0.24,2.6
2015-01-28,600067,6.91,6.91,7.02,6.87,171407,130796421.0,2.15,-1.14,-0.08,1.44
2015-01-29,600067,6.87,6.95,6.99,6.73,186649,141185502.0,3.76,0.58,0.04,1.56
2015-01-30,600067,6.93,6.75,6.99,6.71,187512,141380594.0,4.03,-2.88,-0.2,1.57
2015-02-02,600067,6.69,6.65,6.73,6.6,180016,132526755.0,1.93,-1.48,-0.1,1.51
2015-02-03,600067,6.68,6.71,6.77,6.52,217351,158873102.0,3.76,0.9,0.06,1.82
2015-02-04,600067,6.69,6.58,6.75,6.56,179453,131671613.0,2.83,-1.94,-0.13,1.5
2015-02-05,600067,6.8,6.6,6.83,6.59,227001,168123461.0,3.65,0.3,0.02,1.9
2015-02-06,600067,6.64,6.44,6.64,6.37,138849,99814432.0,4.09,-2.42,-0.16,1.16
2015-02-09,600067,6.47,6.44,6.48,6.37,80547,57333277.0,1.71,0.0,0.0,0.67
2015-02-10,600067,6.44,6.57,6.58,6.41,98119,70736071.0,2.64,2.02,0.13,0.82
