Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2015-03-31,600126,4.38,4.38,4.38,4.38,3000,2016188.0,0.0,12.02,0.47,0.04
2015-04-01,600126,4.89,4.89,4.89,4.89,4720,3488110.0,0.0,11.64,0.51,0.06
2015-04-02,600126,5.46,5.46,5.46,5.46,4401,3578021.0,0.0,11.66,0.57,0.05
2015-04-03,600126,6.08,6.08,6.08,6.08,9075,8112701.0,0.0,11.36,0.62,0.11
2015-04-07,600126,6.77,6.77,6.77,6.77,19906,19567500.0,0.0,11.35,0.69,0.24
2015-04-08,600126,7.52,7.52,7.52,7.52,94123,101747082.0,0.0,11.08,0.75,1.12
2015-04-09,600126,8.35,8.35,8.35,7.77,1076477,1262907216.0,7.71,11.04,0.83,12.83
2015-04-10,600126,8.35,8.19,8.44,7.86,612947,717676688.0,6.95,-1.92,-0.16,7.31
2015-04-13,600126,8.19,8.38,8.71,8.04,666081,792896096.0,8.18,2.32,0.19,7.94
2015-04-14,600126,8.41,8.64,8.69,8.21,551397,664039216.0,5.73,3.1,0.26,6.57
2015-04-15,600126,8.58,8.02,8.58,7.98,383192,452334848.0,6.94,-7.18,-0.62,4.57
2015-04-16,600126,7.67,7.71,8.01,7.54,331005,367373760.0,5.86,-3.87,-0.31,3.95
2015-04-17,600126,7.8,7.64,7.86,7.42,330206,362088304.0,5.71,-0.91,-0.07,3.94
2015-04-20,600126,7.51,7.08,7.61,6.96,307343,324095856.0,8.51,-7.33,-0.56,3.66
2015-04-21,600126,7.08,7.43,7.46,7.08,188053,198318537.0,5.37,4.94,0.35,2.24
2015-04-22,600126,7.44,7.61,7.67,7.29,260080,282404560.0,5.11,2.42,0.18,3.1
2015-04-23,600126,7.59,7.81,7.91,7.43,399009,441660656.0,6.31,2.63,0.2,4.76
2015-04-24,600126,7.59,7.45,7.62,7.28,271312,291940496.0,4.35,-4.61,-0.36,3.23
2015-04-27,600126,7.43,7.58,7.74,7.42,295286,321019328.0,4.3,1.74,0.13,3.52
2015-04-28,600126,7.58,7.14,7.68,6.98,220685,233074919.0,9.23,-5.8,-0.44,2.63
2015-04-29,600126,7.14,7.34,7.39,7.14,146542,153919560.0,3.5,2.8,0.2,1.75
2015-04-30,600126,7.47,7.35,7.51,7.24,197525,210589470.0,3.68,0.14,0.01,2.35
2015-05-04,600126,7.36,7.51,7.74,7.24,245383,264596694.0,6.8,2.18,0.16,2.92
2015-05-05,600126,7.44,7.12,7.51,6.91,210350,221570267.0,7.99,-5.19,-0.39,2.51
2015-05-06,600126,7.13,7.03,7.44,6.98,148267,152823183.0,6.46,-1.26,-0.09,1.77
2015-05-07,600126,7.01,6.82,7.15,6.81,98805,100229048.0,4.84,-2.99,-0.21,1.18
2015-05-08,600126,6.93,7.12,7.13,6.86,123663,125056865.0,3.96,4.4,0.3,1.47
2015-05-11,600126,7.18,7.51,7.67,7.02,320068,340502048.0,9.13,5.48,0.39,3.82
2015-05-12,600126,7.41,7.59,7.65,7.33,229087,247831439.0,4.26,1.07,0.08,2.73
2015-05-13,600126,7.61,7.92,8.13,7.48,480147,540241008.0,8.56,4.35,0.33,5.72
2015-05-14,600126,7.88,7.7,7.91,7.59,251102,277681312.0,4.04,-2.78,-0.22,2.99
2015-05-15,600126,7.7,7.61,7.93,7.52,225756,249569991.0,5.32,-1.17,-0.09,2.69
2015-05-18,600126,7.55,7.77,7.78,7.45,213235,233266477.0,4.34,2.1,0.16,2.54
2015-05-19,600126,7.9,8.41,8.59,7.76,428009,501034880.0,10.68,8.24,0.64,5.1
2015-05-20,600126,8.28,8.34,8.71,8.21,392563,471107008.0,5.95,-0.83,-0.07,4.68
2015-05-21,600126,8.34,8.97,9.19,8.29,406221,506746960.0,10.79,7.55,0.63,4.84
2015-05-22,600126,8.97,9.21,9.49,8.87,377691,489715136.0,6.91,2.68,0.24,4.5
2015-05-25,600126,9.17,9.8,9.98,9.06,324699,438810608.0,9.99,6.41,0.59,3.87
2015-05-26,600126,9.81,9.88,10.55,9.76,349699,493846128.0,8.06,0.82,0.08,4.17
2015-05-27,600126,9.91,9.63,10.21,9.46,314752,428912960.0,7.59,-2.53,-0.25,3.75
2015-05-28,600126,9.6,8.65,9.85,8.63,368548,484135104.0,12.67,-10.18,-0.98,4.39
2015-05-29,600126,8.65,8.83,9.04,7.94,273345,336296176.0,12.72,2.08,0.18,3.26
2015-06-01,600126,9.01,9.18,9.21,8.82,266133,341062544.0,4.42,3.96,0.35,3.17
2015-06-02,600126,9.21,9.49,9.51,8.98,302543,393605296.0,5.77,3.38,0.31,3.61
2015-06-03,600126,9.5,9.1,9.59,8.87,256084,331516736.0,7.59,-4.11,-0.39,3.05
