Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2015-01-05,300375,6.02,5.92,6.02,5.72,10872,42429755.0,4.98,-1.66,-0.1,4.9
2015-01-06,300375,5.84,6.18,6.21,5.84,13011,52419258.0,6.25,4.39,0.26,5.86
2015-01-07,300375,6.15,6.02,6.16,5.97,8265,33201655.0,3.07,-2.59,-0.16,3.72
2015-01-08,300375,5.97,5.97,6.09,5.95,8371,33544567.0,2.33,-0.83,-0.05,3.77
2015-01-09,300375,6.03,6.04,6.24,6.03,14619,59694172.0,3.52,1.17,0.07,6.59
2015-01-12,300375,5.98,5.87,5.98,5.84,7495,29409654.0,2.32,-2.81,-0.17,3.38
2015-01-13,300375,5.87,6.05,6.1,5.84,7297,29004043.0,4.43,3.07,0.18,3.29
2015-01-14,300375,6.02,5.94,6.1,5.91,6442,25642211.0,3.14,-1.82,-0.11,2.9
2015-01-15,300375,5.94,5.97,6.06,5.92,6173,24547117.0,2.36,0.51,0.03,2.78
2015-01-16,300375,5.97,6.12,6.2,5.96,8724,35293747.0,4.02,2.51,0.15,3.93
2015-01-19,300375,6.02,6.13,6.43,5.95,17892,73763425.0,7.84,0.16,0.01,8.06
2015-01-20,300375,6.24,6.52,6.52,6.14,19146,80507079.0,6.2,6.36,0.39,8.62
2015-01-21,300375,6.55,6.59,6.79,6.47,18777,81931515.0,4.91,1.07,0.07,8.46
2015-01-22,300375,6.58,6.6,6.63,6.49,11168,48448717.0,2.12,0.15,0.01,5.03
2015-01-23,300375,6.6,6.48,6.64,6.45,10712,46140122.0,2.88,-1.82,-0.12,4.83
2015-01-26,300375,6.41,6.41,6.5,6.36,11058,46958059.0,2.16,-1.08,-0.07,4.98
2015-01-27,300375,6.41,6.62,6.71,6.41,17121,74535463.0,4.68,3.28,0.21,4.76
2015-01-28,300375,6.55,6.55,6.63,6.48,7017,30430543.0,2.27,-1.06,-0.07,1.95
2015-01-29,300375,6.54,6.62,6.66,6.5,10341,45197596.0,2.44,1.07,0.07,2.88
2015-01-30,300375,6.59,6.42,6.64,6.42,8586,36957480.0,3.32,-3.02,-0.2,2.39
2015-02-02,300375,6.34,6.4,6.49,6.26,4603,19483537.0,3.58,-0.31,-0.02,1.28
2015-02-03,300375,6.4,6.5,6.53,6.39,6384,27372692.0,2.19,1.56,0.1,1.78
2015-02-04,300375,6.5,6.39,6.52,6.39,6575,28022316.0,2.0,-1.69,-0.11,1.83
2015-02-05,300375,6.42,6.41,6.53,6.39,7365,31444970.0,2.19,0.31,0.02,2.05
