2025-05-26 20:33:26.509 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000017
2025-05-26 20:33:26.724 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000017
2025-05-26 20:33:26.734 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000017.csv
2025-05-26 20:33:26.735 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 14/5415 只股票: 000019
2025-05-26 20:33:26.736 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000019
2025-05-26 20:33:26.921 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000019
2025-05-26 20:33:26.930 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000019.csv
2025-05-26 20:33:26.931 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 15/5415 只股票: 000020
2025-05-26 20:33:26.931 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000020
2025-05-26 20:33:27.113 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000020
2025-05-26 20:33:27.128 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000020.csv
2025-05-26 20:33:27.129 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 16/5415 只股票: 000021
2025-05-26 20:33:27.129 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000021
2025-05-26 20:33:27.326 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000021
2025-05-26 20:33:27.336 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000021.csv
2025-05-26 20:33:27.336 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 17/5415 只股票: 000025
2025-05-26 20:33:27.337 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000025
2025-05-26 20:33:27.519 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000025
2025-05-26 20:33:27.529 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000025.csv
