代码,名称,上市日期,行业,板块,交易所,上市年份
002051,中工国际,2006-06-19,E 建筑业,主板,SZSE,2006.0
002052,*ST同洲,2006-06-27,C 制造业,主板,SZSE,2006.0
002053,云南能投,2006-06-27,C 制造业,主板,SZSE,2006.0
002054,德美化工,2006-07-25,C 制造业,主板,SZSE,2006.0
002055,得润电子,2006-07-25,C 制造业,主板,SZSE,2006.0
002056,横店东磁,2006-08-02,C 制造业,主板,SZSE,2006.0
002057,中钢天源,2006-08-02,C 制造业,主板,SZSE,2006.0
002058,*ST威尔,2006-08-02,C 制造业,主板,SZSE,2006.0
002059,云南旅游,2006-08-10,N 公共环保,主板,SZSE,2006.0
002060,广东建工,2006-08-10,E 建筑业,主板,SZSE,2006.0
002061,浙江交科,2006-08-16,E 建筑业,主板,SZSE,2006.0
002062,宏润建设,2006-08-16,E 建筑业,主板,SZSE,2006.0
002063,远光软件,2006-08-23,I 信息技术,主板,SZSE,2006.0
002064,华峰化学,2006-08-23,C 制造业,主板,SZSE,2006.0
002065,东华软件,2006-08-23,I 信息技术,主板,SZSE,2006.0
002066,瑞泰科技,2006-08-23,C 制造业,主板,SZSE,2006.0
002067,景兴纸业,2006-09-15,C 制造业,主板,SZSE,2006.0
002068,黑猫股份,2006-09-15,C 制造业,主板,SZSE,2006.0
002069,獐子岛,2006-09-28,A 农林牧渔,主板,SZSE,2006.0
002072,凯瑞德,2006-10-18,F 批发零售,主板,SZSE,2006.0
002073,软控股份,2006-10-18,C 制造业,主板,SZSE,2006.0
002074,国轩高科,2006-10-18,C 制造业,主板,SZSE,2006.0
002075,沙钢股份,2006-10-25,C 制造业,主板,SZSE,2006.0
002076,*ST星光,2006-10-25,C 制造业,主板,SZSE,2006.0
002077,大港股份,2006-11-16,C 制造业,主板,SZSE,2006.0
002078,太阳纸业,2006-11-16,C 制造业,主板,SZSE,2006.0
002079,苏州固锝,2006-11-16,C 制造业,主板,SZSE,2006.0
002080,中材科技,2006-11-20,C 制造业,主板,SZSE,2006.0
002081,金 螳 螂,2006-11-20,E 建筑业,主板,SZSE,2006.0
002082,万邦德,2006-11-20,C 制造业,主板,SZSE,2006.0
002083,孚日股份,2006-11-24,C 制造业,主板,SZSE,2006.0
002084,海鸥住工,2006-11-24,C 制造业,主板,SZSE,2006.0
002085,万丰奥威,2006-11-28,C 制造业,主板,SZSE,2006.0
002086,东方海洋,2006-11-28,A 农林牧渔,主板,SZSE,2006.0
002088,鲁阳节能,2006-11-30,C 制造业,主板,SZSE,2006.0
002090,金智科技,2006-12-08,C 制造业,主板,SZSE,2006.0
002091,江苏国泰,2006-12-08,F 批发零售,主板,SZSE,2006.0
002092,中泰化学,2006-12-08,C 制造业,主板,SZSE,2006.0
002093,国脉科技,2006-12-15,I 信息技术,主板,SZSE,2006.0
002094,青岛金王,2006-12-15,C 制造业,主板,SZSE,2006.0
002095,生 意 宝,2006-12-15,I 信息技术,主板,SZSE,2006.0
002096,易普力,2006-12-22,C 制造业,主板,SZSE,2006.0
002097,山河智能,2006-12-22,C 制造业,主板,SZSE,2006.0
002098,浔兴股份,2006-12-22,C 制造业,主板,SZSE,2006.0
002099,海翔药业,2006-12-26,C 制造业,主板,SZSE,2006.0
002100,天康生物,2006-12-26,C 制造业,主板,SZSE,2006.0
002101,广东鸿图,2006-12-29,C 制造业,主板,SZSE,2006.0
002102,能特科技,2006-12-29,C 制造业,主板,SZSE,2006.0
002103,广博股份,2007-01-10,C 制造业,主板,SZSE,2007.0
002104,恒宝股份,2007-01-10,C 制造业,主板,SZSE,2007.0
002105,信隆健康,2007-01-12,C 制造业,主板,SZSE,2007.0
002106,莱宝高科,2007-01-12,C 制造业,主板,SZSE,2007.0
002107,沃华医药,2007-01-24,C 制造业,主板,SZSE,2007.0
002108,沧州明珠,2007-01-24,C 制造业,主板,SZSE,2007.0
002109,兴化股份,2007-01-26,C 制造业,主板,SZSE,2007.0
002110,三钢闽光,2007-01-26,C 制造业,主板,SZSE,2007.0
002111,威海广泰,2007-01-26,C 制造业,主板,SZSE,2007.0
002112,三变科技,2007-02-08,C 制造业,主板,SZSE,2007.0
002114,罗平锌电,2007-02-15,C 制造业,主板,SZSE,2007.0
002115,三维通信,2007-02-15,L 商务服务,主板,SZSE,2007.0
002116,中国海诚,2007-02-15,E 建筑业,主板,SZSE,2007.0
002117,东港股份,2007-03-02,C 制造业,主板,SZSE,2007.0
002119,康强电子,2007-03-02,C 制造业,主板,SZSE,2007.0
002120,韵达股份,2007-03-06,G 运输仓储,主板,SZSE,2007.0
002121,科陆电子,2007-03-06,C 制造业,主板,SZSE,2007.0
002122,汇洲智能,2007-03-28,C 制造业,主板,SZSE,2007.0
002123,梦网科技,2007-03-28,I 信息技术,主板,SZSE,2007.0
002124,天邦食品,2007-04-03,A 农林牧渔,主板,SZSE,2007.0
002125,湘潭电化,2007-04-03,C 制造业,主板,SZSE,2007.0
002126,银轮股份,2007-04-18,C 制造业,主板,SZSE,2007.0
002127,南极电商,2007-04-18,L 商务服务,主板,SZSE,2007.0
002128,电投能源,2007-04-18,B 采矿业,主板,SZSE,2007.0
002129,TCL中环,2007-04-20,C 制造业,主板,SZSE,2007.0
002130,沃尔核材,2007-04-20,C 制造业,主板,SZSE,2007.0
002131,利欧股份,2007-04-27,L 商务服务,主板,SZSE,2007.0
002132,恒星科技,2007-04-27,C 制造业,主板,SZSE,2007.0
002133,广宇集团,2007-04-27,K 房地产,主板,SZSE,2007.0
002134,天津普林,2007-05-16,C 制造业,主板,SZSE,2007.0
002135,东南网架,2007-05-30,C 制造业,主板,SZSE,2007.0
002136,安 纳 达,2007-05-30,C 制造业,主板,SZSE,2007.0
002137,实益达,2007-06-13,C 制造业,主板,SZSE,2007.0
